ilce_adi,mahalle_adi,cok_agir_hasarli_bina_sayisi,agir_hasarli_bina_sayisi,orta_hasarli_bina_sayisi,hafif_hasarli_bina_sayisi,can_kaybi_sayisi,agir_yarali_sayisi,hastanede_tedavi_sayisi,hafif_yarali_sayisi,dogalgaz_boru_hasari,icme_suyu_boru_hasari,atik_su_boru_hasari,gecici_barinma
ADALAR,BURGAZADA,54,99,256,241,8,6,24,42,0,0,1,398
ADALAR,HEYBELIADA,101,175,423,393,25,21,66,113,1,1,2,763
ADALAR,KINALIADA,53,97,287,302,5,3,15,27,0,1,1,420
ADALAR,MADEN,104,192,483,484,22,18,64,113,1,1,2,847
ADALAR,NIZAM,101,180,445,422,16,13,48,83,1,2,2,687
ARNAVUTKOY,ADNAN MENDERES,1,3,21,57,0,0,1,3,0,0,0,89
ARNAVUTKOY,ANADOLU,2,13,108,371,0,0,8,26,1,1,1,659
ARNAVUTKOY,ARNAVUTKOY MERKEZ,1,6,51,199,0,0,2,10,0,1,1,273
ARNAVUTKOY,ATATURK,1,6,49,129,0,0,2,8,0,0,0,209
ARNAVUTKOY,BAKLALI,1,5,23,65,0,0,0,0,0,0,0,26
ARNAVUTKOY,BALABAN,0,1,7,25,0,0,0,0,0,0,0,7
ARNAVUTKOY,BOGAZKOY,2,14,95,249,0,0,3,10,0,1,1,246
ARNAVUTKOY,BOLLUCA,1,6,46,125,0,0,1,5,0,0,0,177
ARNAVUTKOY,BOYALLIK,1,4,21,63,0,0,0,0,0,0,0,24
ARNAVUTKOY,CILINGIR,1,5,28,76,0,0,0,0,0,0,0,38
ARNAVUTKOY,DELIKLIKAYA,1,7,50,120,0,0,0,2,1,1,1,173
ARNAVUTKOY,DURSUNKOY,1,5,18,45,0,0,0,1,0,0,0,22
ARNAVUTKOY,DURUSU,0,2,10,30,0,0,0,0,0,0,0,16
ARNAVUTKOY,FATIH,1,4,21,59,0,0,0,1,0,0,0,51
ARNAVUTKOY,HACISISLI,0,3,16,41,0,0,0,0,0,0,0,20
ARNAVUTKOY,HADIMKOY,1,7,63,203,0,0,0,4,1,1,1,387
ARNAVUTKOY,HARACCI,2,12,82,230,0,0,0,4,1,1,1,209
ARNAVUTKOY,HASTANE,1,6,45,147,0,0,0,5,0,0,0,148
ARNAVUTKOY,HICRET,0,3,24,61,0,0,0,2,0,0,0,91
ARNAVUTKOY,IMRAHOR,3,17,96,255,0,0,2,11,1,1,1,301
ARNAVUTKOY,ISLAMBEY,2,11,88,268,0,0,4,18,1,0,1,395
ARNAVUTKOY,KARABURUN,0,3,32,112,0,0,0,0,0,0,0,34
ARNAVUTKOY,YESILBAYIR,2,9,60,186,0,0,1,8,0,0,1,188
ARNAVUTKOY,MARASEL FEVZI CAKMAK,1,6,50,141,0,0,0,1,0,1,1,115
ARNAVUTKOY,MAVIGOL,1,6,53,146,0,0,0,3,0,0,0,146
ARNAVUTKOY,MEHMET AKIF ERSOY,1,4,26,73,0,0,0,3,0,0,1,132
ARNAVUTKOY,MUSTAFA KEMAL PASA,1,7,53,161,0,0,3,11,0,0,1,254
ARNAVUTKOY,NENEHATUN,1,5,43,124,0,0,0,7,0,0,1,180
ARNAVUTKOY,SISLIBOSNA,0,5,26,68,0,0,0,1,0,0,0,46
ARNAVUTKOY,TSISLIK,1,6,44,122,0,0,1,6,0,0,1,120
ARNAVUTKOY,TAYAKADIN,3,12,57,162,0,0,0,1,0,0,0,92
ARNAVUTKOY,TERKOS,1,4,19,58,0,0,0,0,0,0,0,22
ARNAVUTKOY,YASSI?REN,0,1,12,41,0,0,0,0,0,0,0,11
ARNAVUTKOY,YAVUZSISLIM,2,9,64,180,0,0,1,9,0,0,1,250
ARNAVUTKOY,YEN?K?Y,1,5,39,121,0,0,0,0,0,1,1,43
ARNAVUTKOY,YSISLIAYIR,1,4,27,69,0,0,0,0,0,0,0,29
ARNAVUTKOY,YUNUS EMRE,1,10,88,244,0,0,5,16,0,0,1,403
ATASEHIR,A?IKVEYSEL,5,18,102,266,4,3,12,26,0,0,0,465
ATASEHIR,ATAT?RK,2,12,76,209,2,0,11,30,0,1,1,706
ATASEHIR,BARBAROS,14,50,248,498,11,9,42,88,1,1,2,1281
ATASEHIR,ESATPA?A,5,20,140,422,3,1,14,33,0,0,1,598
ATASEHIR,FERHATPA?A,4,26,191,493,0,0,5,26,1,1,2,784
ATASEHIR,FETIH,1,3,26,102,1,0,3,7,0,0,0,203
ATASEHIR,??ERENK?Y,23,76,465,1180,19,8,61,133,1,1,3,2792
ATASEHIR,?N?N?,4,17,115,392,2,0,14,36,0,0,1,775
ATASEHIR,KAYI?DA?I,10,52,352,785,7,2,31,76,1,1,2,1930
ATASEHIR,K???KBASISLI?Y,13,41,200,501,11,6,35,71,1,1,2,1284
ATASEHIR,SISLINA,1,8,64,188,2,0,7,20,0,0,0,470
ATASEHIR,M?MAR S?NAN,2,13,81,203,1,0,7,18,0,0,0,370
ATASEHIR,MUSTAFA KEMAL,8,28,145,345,6,4,18,40,0,0,1,643
ATASEHIR,?RNEK,9,31,181,463,7,4,25,54,0,0,1,966
ATASEHIR,YEN? SISLICA,5,24,152,319,3,1,11,28,0,0,1,630
ATASEHIR,YEN?SAHRA,17,51,205,397,10,9,32,64,0,0,1,671
ATASEHIR,YEN??EH?R,0,1,13,70,0,0,2,5,1,1,0,134
AADALAR,AMSISLI,26,105,388,634,67,35,191,364,2,2,7,3699
AADALAR,C?HANG?R,37,169,688,1171,87,46,252,496,3,4,9,5464
AADALAR,DEN?ZKADALAR,33,138,516,843,74,39,212,409,2,3,7,4086
AADALAR,F?RUZK?Y,19,150,676,1005,18,7,61,135,2,2,7,2073
AADALAR,G?M?SISLI,27,115,446,750,63,34,184,353,2,2,6,3833
AADALAR,MERKEZ,17,64,253,471,44,23,124,241,1,1,4,2751
AADALAR,MUSTAFA KSISLIA?A,21,91,416,821,47,25,134,274,1,2,4,3863
AADALAR,TAHTSISLI,5,52,321,658,3,1,26,76,1,1,1,2247
AADALAR,?N?VERS?TE,12,64,276,480,19,9,55,113,1,1,4,1617
AADALAR,YSISLIENT,36,313,1565,2452,43,20,146,338,4,4,5,5308
BAADALAR,100. YIL,6,22,186,665,7,3,25,61,0,0,1,1233
BAADALAR,ADALAR,36,86,315,455,33,19,90,165,1,1,3,3267
BAADALAR,BARBAROS,36,74,273,453,50,28,133,242,0,1,2,2646
BAADALAR,?INAR,45,86,360,720,82,45,215,390,1,1,2,2548
BAADALAR,DEM?RKAPI,43,108,509,1013,71,39,192,368,1,1,3,3443
BAADALAR,EVREN,54,144,657,1233,70,38,190,367,1,2,4,3236
BAADALAR,FATIH,25,62,334,808,40,21,107,208,1,1,2,2332
BAADALAR,FEVZ? ?AKMAK,27,64,311,673,44,24,118,224,1,1,2,2593
BAADALAR,G?ZTEPE,19,53,287,683,25,15,71,144,1,1,2,1930
BAADALAR,G?SISLI,47,114,507,961,71,39,190,358,1,1,3,4189
BAADALAR,H?RR?YET,49,99,367,570,65,35,171,307,1,1,2,2802
BAADALAR,?N?N?,46,90,326,525,64,38,169,304,0,1,2,2718
BAADALAR,KAZIM KARABEK?R,46,94,360,607,66,38,174,316,1,1,2,3061
BAADALAR,KSISLIA?A,20,50,284,682,30,16,81,160,0,0,1,2045
BAADALAR,K?SISLI,51,119,501,902,76,42,203,380,1,1,3,4099
BAADALAR,MAHMUTBEY,47,144,694,1236,39,23,110,209,1,2,5,1740
BAADALAR,MERKEZ,26,52,221,434,52,28,137,251,1,0,2,2323
BAADALAR,SANCAKTEPE,23,49,215,419,35,19,92,171,0,1,2,1620
BAADALAR,YAVUZSISLIM,30,69,298,568,47,26,125,234,1,1,2,2432
BAADALAR,YEN?G?N,24,43,186,373,54,29,138,250,0,0,2,2068
BAADALAR,YEN?MASISLI,29,73,332,634,48,26,128,242,1,1,2,2821
BAADALAR,YILDIZTEPE,67,130,478,783,110,61,289,518,1,1,3,4367
BASISLISILER,BASISLISILER,81,147,488,752,185,99,480,838,2,3,6,6193
BASISLISILER,CUMHUR?YET,47,87,362,680,97,53,254,459,1,1,3,3989
BASISLISILER,?OBAN?E?ME,62,125,469,751,83,44,217,393,2,2,4,3437
BASISLISILER,FEVZ? ?AKMAK,37,71,276,470,70,36,180,326,1,1,2,2848
BASISLISILER,H?RR?YET,56,105,432,757,128,69,335,601,1,1,4,4906
BASISLISILER,KOCAS?NAN MERKEZ,71,151,611,1088,148,83,394,723,2,2,6,6969
BASISLISILER,S?YAVU?PA?A,88,143,521,922,220,117,567,989,1,2,4,6781
BASISLISILER,SOSISLI,74,126,537,1059,189,101,491,875,1,2,4,6850
BASISLISILER,??R?ADALAR,105,171,592,945,230,122,592,1028,2,2,6,6563
BASISLISILER,YEN?BOSNA MERKEZ,74,162,553,796,71,41,193,352,2,3,7,3588
BASISLISILER,ZAFER,101,202,827,1466,212,114,558,1015,2,2,6,9075
BAKIRKOY,ATAK?Y 1. KISIM,6,10,24,32,12,6,31,52,1,0,1,204
BAKIRKOY,ATAK?Y 2-5-6. KISIM,16,27,61,77,68,36,176,295,1,1,2,1760
BAKIRKOY,ATAK?Y 3-4-11. KISIM,18,30,75,89,43,23,110,185,1,1,2,1131
BAKIRKOY,ATAK?Y 7-8-9-10. KISIM,16,38,126,199,63,33,165,291,1,1,4,2371
BAKIRKOY,BASINK?Y,62,93,200,167,47,35,123,208,1,1,4,1114
BAKIRKOY,CESISLIK,39,63,188,271,29,16,74,127,0,1,1,663
BAKIRKOY,KASISLIEPE,82,132,393,567,166,89,424,725,1,2,4,4460
BAKIRKOY,OSMAN?YE,44,83,259,349,87,47,225,391,1,1,3,2766
BAKIRKOY,SAKIZA?ACI,34,50,131,176,41,23,104,176,0,0,1,1092
BAKIRKOY,SISLIKK?Y,110,234,593,488,122,68,324,561,3,3,8,4483
BAKIRKOY,YEN?MASISLI,34,50,132,186,42,23,108,182,0,0,1,894
BAKIRKOY,YSISLI?Y,201,310,696,621,161,92,413,695,3,4,11,3776
BAKIRKOY,YSISLIURT,25,38,95,99,35,19,91,154,1,1,2,1025
BAKIRKOY,ZEYSISLIK,30,49,152,228,27,15,70,121,0,0,1,678
BAKIRKOY,ZUHURATBABA,65,99,269,390,103,56,263,447,1,1,3,2493
BASAKSEHIR,ALTIN?EH?R,10,42,199,374,8,6,28,61,0,0,1,945
BASAKSEHIR,BAH?E?EH?R 1. KISIM,5,44,278,549,1,0,11,33,0,1,2,1151
BASAKSEHIR,BAH?E?EH?R 2. KISIM,11,57,311,738,16,7,53,115,1,2,2,1613
BASAKSEHIR,BA?AK,1,8,66,225,1,0,7,24,1,1,1,1000
BASAKSEHIR,BASAKSEHIR,1,3,21,115,1,0,6,18,0,0,1,522
BASAKSEHIR,G?VERC?NTEPE,26,115,573,1173,21,16,80,183,1,1,3,3188
BASAKSEHIR,KAYABA?I,4,18,91,261,2,1,9,27,1,1,1,1580
BASAKSEHIR,?AH?NTEPE,29,128,615,1197,11,8,54,125,1,1,2,2380
BASAKSEHIR,ADALAR,1,7,36,88,0,0,0,0,0,0,1,53
BASAKSEHIR,Z?YA GSISLI,27,153,787,1523,10,7,39,84,1,2,6,965
BAYRAMPASA,ALTINTEPS?,68,135,483,826,60,37,161,291,1,1,2,2839
BAYRAMPASA,CEVATPA?A,18,43,175,384,18,12,51,98,0,0,1,1214
BAYRAMPASA,?SMET PA?A,50,86,260,442,41,28,108,191,0,0,1,1510
BAYRAMPASA,KASISLIEPE,68,137,483,1025,67,45,180,331,1,1,2,3056
BAYRAMPASA,KOCATEPE,26,55,233,468,30,17,82,154,1,1,2,1653
BAYRAMPASA,MURATPA?A,116,202,589,1008,93,63,245,435,1,1,2,3394
BAYRAMPASA,ORTAMASISLI,57,107,334,533,40,27,106,189,0,1,1,1588
BAYRAMPASA,TERAZ?DERE,52,98,309,530,34,24,93,167,0,1,2,1509
BAYRAMPASA,VATAN,36,72,229,366,22,16,60,108,0,0,1,1053
BAYRAMPASA,YEN?DO?AN,57,104,345,582,46,29,122,217,0,1,2,1765
BAYRAMPASA,YILDIRIM,66,143,619,1251,69,42,186,348,1,1,3,3483
BESIKTAS,ABBASA?A,2,6,31,111,1,1,4,9,0,0,0,136
BESIKTAS,AKAT,3,11,73,220,1,1,5,14,0,0,1,329
BESIKTAS,ARNAVUTKOY,1,7,52,164,0,0,0,4,0,0,0,90
BESIKTAS,BALMUMCU,1,3,24,67,0,0,1,3,0,0,0,84
BESIKTAS,BEBEK,2,6,46,143,0,0,2,5,0,0,0,114
BESIKTAS,C?HANN?MA,3,7,35,110,2,1,5,10,0,0,0,119
BESIKTAS,DSISLITA?,2,4,25,135,2,1,7,16,0,0,0,207
BESIKTAS,ADALAR,1,4,44,137,0,0,2,8,0,0,0,201
BESIKTAS,GAYRETTEPE,1,3,17,93,1,0,6,13,0,0,0,178
BESIKTAS,KOADALAR,1,4,28,106,0,0,4,10,0,0,1,230
BESIKTAS,KURU?E?ME,1,6,38,116,0,0,0,3,0,0,0,74
BESIKTAS,K?LT?R,0,2,17,65,0,0,1,2,0,0,0,64
BESIKTAS,LEVAZIM,0,1,7,40,0,0,1,4,0,0,0,74
BESIKTAS,LEVENT,2,8,95,248,0,0,1,4,1,1,1,105
BESIKTAS,MEC?D?YE,11,32,127,293,6,4,17,38,0,0,0,525
BESIKTAS,MURAD?YE,1,2,12,66,1,0,3,6,0,0,0,69
BESIKTAS,N?SBET?YE,1,2,21,103,0,0,2,7,0,0,0,143
BESIKTAS,ORTAK?Y,7,20,96,239,2,2,9,20,0,0,1,366
BESIKTAS,S?NANPA?A,8,18,71,169,4,2,10,18,0,0,0,147
BESIKTAS,T?SISLI,6,14,62,190,4,2,10,21,0,0,0,333
BESIKTAS,ULUS,1,3,23,88,0,0,1,5,0,0,0,125
BESIKTAS,V??NEZADE,5,13,54,170,1,0,4,11,0,1,1,214
BESIKTAS,YILDIZ,4,11,55,168,1,0,4,9,1,0,1,169
BEYKOZ,AADALAR,1,8,89,295,0,0,0,0,1,0,0,109
BEYKOZ,AKBABA,0,2,18,66,0,0,0,0,0,0,0,33
BEYKOZ,AL?BAHADIR,1,2,14,40,0,0,0,0,0,0,0,19
BEYKOZ,ANSISLI FENER?,0,2,15,48,0,0,0,0,0,0,0,18
BEYKOZ,ANSISLI H?SARI,3,10,67,145,0,0,2,5,0,0,0,27
BEYKOZ,ANSISLI KAVA?I,1,3,16,49,0,0,0,1,0,0,0,102
BEYKOZ,SISLICI,1,8,64,171,0,0,0,0,1,1,1,95
BEYKOZ,BOZHANE,1,3,13,36,0,0,0,0,0,0,0,15
BEYKOZ,CUMHUR?YET,1,5,28,84,0,0,0,1,0,0,0,41
BEYKOZ,SISLIBAH?E,10,26,122,224,4,3,14,27,0,0,1,356
BEYKOZ,?ESISLIERE,1,7,58,172,0,0,0,0,0,1,1,108
BEYKOZ,?SISLIK,1,7,61,172,0,0,0,0,0,0,1,120
BEYKOZ,???DEM,1,6,59,199,0,0,0,5,0,0,0,152
BEYKOZ,?USISLI,9,34,185,495,3,3,13,33,1,1,1,483
BEYKOZ,DERESEK?,0,2,19,66,0,0,0,0,0,0,0,23
BEYKOZ,ESISLI,1,4,34,106,0,0,0,0,0,0,0,48
BEYKOZ,FATIH,0,4,31,91,0,0,0,1,0,0,0,83
BEYKOZ,G?KSU,5,15,80,149,1,0,6,13,0,0,1,140
BEYKOZ,SISLI,0,1,7,19,0,0,0,0,0,0,0,8
BEYKOZ,GSISLI,1,4,32,91,0,0,0,0,0,0,0,50
BEYKOZ,G?ZTEPE,4,15,90,209,1,0,5,12,0,0,1,295
BEYKOZ,G?M??SUYU,9,34,176,469,1,1,8,21,0,1,1,357
BEYKOZ,?NC?RK?Y,5,20,149,416,1,1,5,15,0,0,1,368
BEYKOZ,?SSISLI,1,4,26,78,0,0,0,0,0,0,0,29
BEYKOZ,SISLICA,1,5,42,119,0,0,0,3,0,0,0,97
BEYKOZ,KAVACIK,7,23,134,381,2,1,13,31,0,1,1,545
BEYKOZ,KAYNARCA,0,1,8,25,0,0,0,0,0,0,0,12
BEYKOZ,KISISLI,0,1,11,36,0,0,0,0,0,0,0,11
BEYKOZ,MAHMUT?EVKETPA?A,1,5,31,93,0,0,0,0,0,0,0,40
BEYKOZ,MERKEZ,0,2,33,122,0,0,0,1,0,0,0,63
BEYKOZ,ORTA?E?ME,4,13,83,202,2,1,5,11,0,0,0,196
BEYKOZ,???MCE,1,3,18,49,0,0,0,0,0,0,0,20
BEYKOZ,?RNEKK?Y,1,5,38,120,0,0,0,0,0,0,1,69
BEYKOZ,PA?ABAH?E,4,11,72,143,1,0,4,9,0,0,0,161
BEYKOZ,PA?AMANDIRA,2,6,26,71,0,0,0,1,0,0,0,39
BEYKOZ,POLONEZK?Y,2,6,32,77,0,0,0,0,0,0,0,27
BEYKOZ,POYRAZK?Y,1,4,16,43,0,0,0,0,0,0,0,0
BEYKOZ,R?VA,0,3,37,134,0,0,0,0,1,0,0,37
BEYKOZ,R?ZSISLIBAH?E,4,20,86,248,1,1,6,15,0,0,0,166
BEYKOZ,SO?UKSU,0,3,41,150,0,0,0,2,0,0,0,94
BEYKOZ,TOKATK?Y,7,23,137,339,3,2,9,19,0,0,0,324
BEYKOZ,YALIK?Y,7,18,83,190,2,2,7,15,0,0,0,165
BEYKOZ,YAVUZSISLIM,1,8,73,209,0,0,0,0,1,1,1,114
BEYKOZ,YEN? MASISLI,13,55,290,679,3,1,15,43,1,0,1,656
BEYKOZ,ZERZAVAT?I,0,2,12,36,0,0,0,0,0,0,0,22
SISLIKDUZU,ADNAN KAHVEC?,27,83,292,624,106,56,285,523,2,5,8,6195
SISLIKDUZU,BARI?,12,39,126,306,84,44,222,394,1,2,5,3284
SISLIKDUZU,B?Y?K?EH?R,3,10,30,89,25,13,65,115,0,0,1,1076
SISLIKDUZU,CUMHUR?YET,6,14,40,140,36,19,95,168,1,1,2,1051
SISLIKDUZU,DEREA?ZI,66,203,594,619,24,10,80,159,4,7,14,1785
SISLIKDUZU,G?RPINAR,39,126,397,450,37,20,104,191,2,2,5,2400
SISLIKDUZU,KASISLI,40,117,369,524,50,27,147,271,3,5,13,2914
SISLIKDUZU,MARMARA,25,80,241,343,56,28,152,271,3,3,7,2506
SISLIKDUZU,SAH?L,25,65,171,161,12,6,37,67,1,2,4,684
SISLIKDUZU,YASISLI,78,213,744,1075,97,53,269,496,4,5,13,4775
BESISLI,ARAP CAM?,17,29,86,157,0,0,1,2,0,0,1,12
BESISLI,ASISLI MESC?T,2,4,21,82,0,0,1,3,0,0,0,112
BESISLI,BEDRETT?N,3,7,26,63,1,0,2,5,0,0,0,225
BESISLI,BEREKETZADE,4,9,35,89,0,0,1,1,0,0,0,41
BESISLI,BOSTAN,11,23,76,142,7,6,20,37,0,0,0,198
BESISLI,B?LB?L,4,14,64,172,1,1,4,9,0,0,0,138
BESISLI,CAM??KEB?R,28,46,126,195,14,9,34,62,0,1,1,182
BESISLI,C?HANG?R,2,5,26,111,0,0,2,5,0,0,0,249
BESISLI,?ATMA MESC?T,2,6,25,67,1,1,3,5,0,0,0,169
BESISLI,?UKUR,3,8,32,97,1,1,3,7,0,0,0,59
BESISLI,EMEKYEMEZ,11,21,68,123,0,0,1,1,0,0,0,3
BESISLI,EVL?YASISLIB?,1,2,8,27,0,0,1,1,0,0,0,46
BESISLI,FET?HTEPE,8,26,148,387,6,5,19,41,0,0,0,75
BESISLI,F?RUZA?A,3,9,39,128,1,1,4,8,0,0,0,82
BESISLI,G?M??SUYU,2,4,22,86,0,0,2,3,0,0,0,82
BESISLI,HACIAHMET,16,38,133,292,10,8,28,54,0,0,0,239
BESISLI,HACIM?M?,17,22,57,102,2,1,5,8,0,0,0,32
BESISLI,HALICSISLI,11,21,80,175,12,7,31,56,0,0,0,1821
BESISLI,H?SEY?NA?A,1,4,18,69,0,0,1,3,0,0,0,85
BESISLI,?SSISLIL,29,66,200,315,10,9,27,50,0,0,1,45
BESISLI,KADI MEHMET EFEND?,7,13,53,137,7,4,19,35,0,0,0,61
BESISLI,KALYONCUSISLIU?U,4,10,40,107,2,2,6,12,0,0,0,78
BESISLI,KAMER HATUN,1,5,19,60,1,1,2,4,0,0,0,39
BESISLI,KAPTANPA?A,10,28,146,352,12,7,32,64,0,0,1,477
BESISLI,KAT?PMUSTAFASISLIB?,1,4,20,85,0,0,1,3,0,0,0,24
BESISLI,KE?EC? P?R?,18,39,164,361,10,7,29,55,1,1,1,118
BESISLI,KEMANKE? KARAMUSTAFAPA?A,23,29,69,100,2,1,5,8,0,0,1,4
BESISLI,KILSISLI PA?A,2,5,23,83,0,0,2,5,0,0,0,300
BESISLI,KOCATEPE,3,9,40,132,1,1,2,5,0,0,0,177
BESISLI,KULAKSIZ,12,21,74,148,12,8,32,58,0,0,0,637
BESISLI,KUSISLI,2,5,24,94,0,0,2,4,0,0,0,102
BESISLI,K???K PSISLI,16,29,97,179,11,8,29,53,0,0,1,199
BESISLI,M?EYYETZADE,2,5,22,73,0,0,1,1,0,0,0,25
BESISLI,?MER AVN?,4,7,29,91,1,0,5,9,0,0,0,91
BESISLI,?RNEKTEPE,22,45,166,311,15,11,40,75,1,1,1,87
BESISLI,P?R?PA?A,26,55,208,406,21,14,57,106,0,1,1,455
BESISLI,PSISLIPA?A,9,26,168,490,9,6,26,54,1,0,1,185
BESISLI,P?SISLI? HASAN EFEND?,4,8,31,82,1,0,4,7,0,0,0,293
BESISLI,SURUR? MEHMET EFEND?,15,28,84,140,9,7,24,42,0,0,0,114
BESISLI,SISLICE,22,39,123,226,21,13,55,98,0,1,1,992
BESISLI,?ASISLI,2,5,23,84,0,0,1,2,0,0,0,207
BESISLI,?EH?T MUHTAR,3,8,36,140,0,0,2,5,0,0,0,300
BESISLI,TOMTOM,2,7,31,108,1,1,3,5,0,0,0,229
BESISLI,YAHYA KAHYA,20,33,92,131,12,8,31,53,0,0,1,646
BESISLI,YEN??EH?R,5,14,60,159,3,2,9,17,0,0,0,560
BUYUKCEKMECE,19.May,13,36,139,208,13,7,35,67,1,1,2,818
BUYUKCEKMECE,AHMED?YE,5,16,60,84,1,0,3,7,0,0,0,117
BUYUKCEKMECE,ALKENT 2000,12,57,255,386,1,0,6,12,1,1,1,406
BUYUKCEKMECE,ATAT?RK,24,75,293,410,28,14,76,145,1,1,2,1933
BUYUKCEKMECE,BASISLISILER,24,111,449,550,0,0,7,23,1,2,1,579
BUYUKCEKMECE,CSISLIYE,7,66,358,608,0,0,4,17,2,3,2,471
BUYUKCEKMECE,CUMHUR?YET,11,48,189,261,9,4,31,62,1,1,2,631
BUYUKCEKMECE,?AKSISLI,9,27,96,139,7,5,22,41,0,0,0,430
BUYUKCEKMECE,D?ZDAR?YE,22,43,137,185,20,12,53,95,0,0,1,818
BUYUKCEKMECE,EK?NOBA,8,29,115,183,14,7,40,77,1,1,2,1061
BUYUKCEKMECE,FATIH,29,80,306,422,31,16,88,166,1,1,3,1920
BUYUKCEKMECE,GSISLIE,41,174,635,734,6,2,30,65,2,3,3,1076
BUYUKCEKMECE,H?RR?YET,28,92,375,535,22,14,68,139,1,2,4,1902
BUYUKCEKMECE,KSISLIBA,6,56,313,541,0,0,1,7,2,3,3,549
BUYUKCEKMECE,KARAA?A?,5,39,219,416,0,0,0,0,1,1,1,227
BUYUKCEKMECE,KUMBURGAZ,20,81,328,444,3,1,17,39,1,2,2,801
BUYUKCEKMECE,M?MAR S?NAN MERKEZ,42,98,324,412,21,13,61,109,1,1,3,967
BUYUKCEKMECE,M?MAROBA,10,35,143,265,22,12,63,117,1,1,2,1453
BUYUKCEKMECE,MURAT ?E?ME,15,61,246,351,15,7,49,98,1,2,4,1423
BUYUKCEKMECE,PINARTEPE,22,85,326,465,25,11,75,148,2,3,4,1849
BUYUKCEKMECE,S?NANOBA,20,78,273,349,22,11,62,116,1,1,2,1681
BUYUKCEKMECE,T?RKOBA,23,115,521,740,3,2,17,55,2,1,6,1216
BUYUKCEKMECE,ULUS,33,93,361,472,25,16,71,135,1,1,3,1732
BUYUKCEKMECE,YEN?MASISLI,10,40,161,207,0,0,6,14,1,1,1,238
CSISLIA,SISLIN,1,4,18,52,0,0,0,1,0,0,0,11
CSISLIA,ATAT?RK,0,1,10,48,0,0,0,0,0,0,0,234
CSISLIA,AYADALAR,0,1,9,39,0,0,0,0,0,0,0,249
CSISLIA,BAH?AY??,0,3,15,37,0,0,0,0,0,0,0,5
CSISLIA,BA?AK,0,0,5,19,0,0,0,0,0,0,0,186
CSISLIA,BELGRAT,0,0,5,20,0,0,0,0,0,0,0,19
CSISLIA,SILEPK?Y,0,0,3,12,0,0,0,0,0,0,0,12
CSISLIA,?AKIL,10,47,218,397,0,0,2,4,1,1,2,8
CSISLIA,?ANAK?A,1,7,46,142,0,0,0,1,0,0,0,47
CSISLIA,?SISLIKK?Y,0,2,17,67,0,0,0,0,0,0,0,63
CSISLIA,DA?YEN?CE,1,3,15,45,0,0,0,0,0,0,0,8
CSISLIA,ELBASAN,2,9,48,100,0,0,0,0,0,0,1,0
CSISLIA,FATIH,0,1,9,41,0,0,0,0,0,0,0,42
CSISLIA,FERHATPA?A,8,40,225,550,3,1,15,38,1,1,2,3
CSISLIA,G?KSISLI,1,6,40,109,0,0,0,1,0,0,0,74
CSISLIA,G?M??PINAR,0,1,8,31,0,0,0,0,0,0,0,3
CSISLIA,SISLI?LI,3,8,37,98,0,0,0,1,0,0,1,48
CSISLIA,H?SARSISLI,0,0,3,13,0,0,0,0,0,0,0,50
CSISLIA,?HSAN?YE,2,8,37,102,0,0,0,1,0,0,0,59
CSISLIA,?NCE??Z,1,7,42,108,0,0,0,0,0,1,0,72
CSISLIA,?ZZETT?N,1,7,56,150,0,0,0,0,0,1,1,88
CSISLIA,KABAK?A,5,17,76,193,0,0,0,1,0,0,1,16
CSISLIA,SILE???,9,42,213,436,1,1,6,15,1,1,2,232
CSISLIA,KALFA,0,1,11,39,0,0,0,0,0,0,0,16
CSISLIA,KARACAK?Y MERKEZ,0,2,27,98,0,0,0,0,0,0,1,13
CSISLIA,KARAMANDERE,0,1,7,27,0,0,0,0,0,0,0,18
CSISLIA,KESTSISLIK,1,6,41,118,0,0,1,1,0,0,0,12
CSISLIA,KSISLIAAL?,0,1,8,26,0,0,0,0,0,0,0,33
CSISLIA,MURATBEY MERKEZ,1,13,80,157,0,0,0,1,0,1,1,6
CSISLIA,NAKKA?,2,8,39,100,0,0,0,0,0,0,0,50
CSISLIA,OSISLI,1,3,22,63,0,0,0,0,0,0,0,16
CSISLIA,ORSISLI,0,1,13,48,0,0,0,0,0,0,0,69
CSISLIA,OVAYEN?CE,11,39,159,261,0,0,1,2,1,1,1,1
CSISLIA,?RSISLI,0,2,18,56,0,0,0,0,0,0,0,4
CSISLIA,?RENC?K,0,1,11,43,0,0,0,0,0,0,0,7
CSISLIA,SUBA?I,2,8,47,130,0,0,0,0,0,0,0,88
CSISLIA,YALIK?Y,0,1,12,54,0,0,0,0,0,0,0,40
CSISLIA,SISLICIK,0,0,0,2,0,0,0,0,0,0,0,6
CSISLIA,SISLIK,0,0,6,22,0,0,0,0,0,0,0,25
CEKMEKOY,ALEMDA?,1,7,56,160,0,0,1,2,0,0,0,140
CEKMEKOY,AYADALAR,1,5,53,191,0,0,1,10,0,0,1,296
CEKMEKOY,CUMHUR?YET,1,4,39,139,0,0,2,7,0,0,0,296
CEKMEKOY,SISLIK,0,2,25,145,0,0,1,7,0,0,0,233
CEKMEKOY,?SISLIE?E,1,8,63,193,0,0,1,4,0,0,0,184
CEKMEKOY,EK?SISLI,1,7,59,171,0,0,1,4,0,0,0,180
CEKMEKOY,GUNGOREN,0,3,22,82,0,0,1,4,0,0,0,146
CEKMEKOY,HAM?D?YE,1,4,46,224,0,0,2,12,1,2,2,118
